folio_u;tit_propio;nombre_edi;es_enlinea;catalogada;id_catalogo;nombre_largo;issn_e;issn_l;issn_imp;subtemas
26076;"Revista Comunicación, Política y Seguridad.";"Instituto de Investigaciones Gino Germani";1;1;10771;Argentina;2683-7374;2683-7374;;"Antropología, Ciencias de la comunicación, Ciencias sociales y humanidades, Sociología, Televisión, Defensa y seguridad, Criminología"
28251;"Revista Contraponto";"Universidade Federal do Rio Grande do Sul (UFRGS)";1;;;Brasil;2358-3541;2358-3541;;"Antropología, Ciencias sociales y humanidades, Sociología, Estudios latinoamericanos, Derechos humanos"
24497;"Revista Controle Social e Desenvolvimento Territorial";"Universidade Federal do Tocantins (UFT)";1;;;Brasil;2527-1253;2527-1253;;"Administración, Antropología, Ciencia política y administración pública, Ciencias sociales y humanidades, Demografía, Derecho agrario, Economía, Educación, Filosofía, Geografía, Historia, Lingüística, Relaciones internacionales, Desarrollo económico, Estudios locales, Hacienda pública, Ciencia y Tecnología"
4816;"Revista Controversia";Cinep/PPP;1;0;1540;Colombia;2539-1623;0120-4165;0120-4165;"Antropología, Ciencias sociales y humanidades, Historia, Sociología, Derechos humanos"
21569;"Revista d'etnologia de Catalunya";"Generalitat de Catalunya";1;0;8677;España;2014-6310;1132-6581;;"Antropología, Etnología"
24471;"Revista da ABPN";"Associação Brasileira de Pesquisadores Negros (ABPN)";1;0;10226;Brasil;2177-2770;2177-2770;;"Antropología, Arte, Artes plásticas, Ciencias sociales y humanidades, Cine, Cultura, Educación, Filosofía, Lingüística, Literatura, Pedagogía, Psicología, Religión, Estudios locales, Humanidades, Estudios latinoamericanos, Estudios de género, Planificación urbana, Derechos humanos, Estudios regionales, Estudios sociales de la salud"
14009;"Revista de Antropología";"Universidad Nacional Mayor de San Marcos, Facultad de Ciencias Sociales. Escuela Académico Profesional de Antropología";0;0;5001;Perú;;1811-380X;1811-380X;Antropología
14010;"Revista de Antropologia";"Universidade de São Paulo (USP)";1;1;5002;Brasil;1678-9857;0034-7701;0034-7701;Antropología
14008;"Revista de antropología";"Casa de la Cultura Ecuatoriana del Núcleo del Azuay, Departamento de Literatura del Núcleo del Azuay";0;;;Ecuador;;;0557-8507;Antropología
23318;"Revista de antropología del Museo de Entre Ríos";"Ministerio de Cultura y Comunicación";1;;;Argentina;2347-033X;2347-033X;;"Antropología, Arqueología"
14012;"Revista de Antropologia Experimental";"Universidad de Jaén, Departamento de Territorio y Patrimonio Histórico, Área de Antropología Social";1;0;5003;España;1578-4282;;;Antropología
19678;"Revista de antropología social";"Servicio de publicaciones. Universidad Complutense";1;1;7510;España;1988-2831;1131-558X;1131-558X;Antropología
26491;"Revista de antropología visual.";"Servicio Nacional del Patrimonio Cultural, Ministerio de las Culturas, las Artes y el Patrimonio, Departamento/Área  	Centro de Investigaciones Diego Barros Arana, Biblioteca Nacional Naturaleza de la Institución	Institución Pública";1;1;11618;Chile;2452-5189;2452-5189;;"Antropología, Arte, Cultura"
21628;"Revista de antropología y filosofía de lo sagrado";"UMA Editorial. Universidad de Málaga";1;1;8721;España;2603-6053;2530-1233;2530-1233;"Antropología, Literatura, Filología"
14015;"Revista de antropología y sociología de la Universidad de Caldas";"Universidad de Caldas";1;0;5006;Colombia;2462-9782;0123-4471;0123-4471;"Antropología, Sociología"
14018;"Revista de Arqueologia";"Sociedade de Arqueologia Brasileira (SAB)";1;0;5008;Brasil;1982-1999;0102-0420;0102-0420;"Antropología, Arqueología, Ciencias sociales y humanidades, Cultura, Geografía, Historia, Museología, Humanidades, Prehistoria, Estudios latinoamericanos, Estudios regionales"
26885;"Revista de arqueología histórica argentina y latinoamericana.";"Asociación de Arqueólogos Profesionales de la República Argentina";1;1;11029;Argentina;2344-9918;1851-3190;1851-3190;"Antropología, Arqueología, Etnología, Historia, Estudios latinoamericanos"
24507;"Revista de Ciências do Estado";"Universidade Federal de Minas Gerais (UFMG)";1;1;10235;Brasil;2525-8036;2525-8036;;"Antropología, Ciencia política y administración pública, Ciencias sociales y humanidades, Derecho internacional, Derecho público, Relaciones internacionales, Estudios locales, Hacienda pública, Estudios de género"
25565;"Revista de Ciências Humanas Caeté";"Universidade Federal de Alagoas (UFAL)";1;;;Brasil;2675-1666;2675-1666;;"Antropología, Arqueología, Ciencias sociales y humanidades, Historia"
14129;"Revista de Ciências Sociais";"Universidade Federal do Ceará (UFCE)";1;0;5054;Brasil;2318-4620;0041-8862;0041-8862;"Antropología, Ciencia política y administración pública, Sociología"
28995;"Revista de Ciências Sociais da UEMS";"Universidade Estadual de Mato Grosso do Sul (UEMS )";1;;;Brasil;2764-0655;2764-0655;;"Antropología, Ciencia política y administración pública, Ciencias sociales y humanidades, Educación, Etnología, Sociología"
14133;"Revista de ciencias sociales";"Universidad José Santos Ossa";0;;;Chile;;;0717-4683;"Antropología, Ciencias de la comunicación, Educación, Sociología"
26788;"Revista de ciencias sociales.";"Universidad Nacional de Quilmes";1;;;Argentina;2347-1050;0328-2643;;"Antropología, Ciencias sociales y humanidades, Sociología"
